# 来源：中考英语核心高频688词背诵版.pdf
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：688
talent|n|天赋；才能；人才n.
tap|n v|轻拍；轻敲；水龙头v.轻拍；水龙头n.
task|n|任务；工作；作业n.
taste|n v|品尝；味道；体验v.味道；品味n.
team|n v|队；组n.合作；协作v.
technology|n|技术；科技；工艺n.
teenage|a|青少年的；十几岁的adj.
temperature|n|温度；体温；气温n.
temple|n|寺庙；寺院n.
term|n|学期；术语；条款n.
terrible|a|可怕的；糟糕的；严重的adj.
thankful|a|感激的；感谢的；欣慰的adj.
theatre|n|剧院；戏院；剧场n.
though|d|虽然；尽管conj.可是；不过adv.
thought|n|思想；想法；思考；念头n.
through|d|穿过；通过；凭借prep./adv.
throw|v|扔；投；掷；抛v.
tie|n v|系；捆；绑v.领带；绳子；关系n.
tire|n v|使疲劳；厌倦v.轮胎n.
title|n v|标题；题目；头衔n.加标题；授予头衔v.
together|d|一起；共同；同时adv.
toilet|n|厕所；卫生间n.
tolerance|n|宽容；容忍；忍耐力n.
touch|n v|触摸；接触；触动v.触摸；触感；联系n.
tourist|n|游客；旅行者；观光客n.
tower|n v|高耸；超越v.塔；塔楼n.
trade|n v|贸易；交易；买卖v./n.
traditional|a|传统的；惯例的；守旧的adj.
traffic|n|交通；车流；运输n.
train|n v|火车；列车n.训练；培养v.
translate|v|翻译；转化v.
transport|n v|运输；运送n.运输；运送v.中考英语核心高频688词第3页共21页Day3（67-99）序号英文单词音标中文释义
travel|n v|旅行；游历v.旅行；旅程n.
treasure|n v|珍视；珍爱v.珍宝；财富n.
treat|n v|对待；治疗；处理v.款待；招待n.
trouble|n v|麻烦；困难；烦恼n.麻烦；使苦恼v.
trust|n v|信任；信赖；委托v.信任；信赖n.
truth|n|真相；事实；真理n.
type|n v|类型；种类；打字n.打字；分类v.
underground|a d n|/ˌʌndəˈɡraʊnd/；地下的；秘密的adj.在地下adv.地铁；地下组织n.
underline|v|在…下面划线；强调v.
uniform|a n|制服；校服n.统一的；一致的adj.
university|n|大学；综合性大学n.
upset|a v|使难过；打乱v.难过的；心烦的adj.
use|n v|使用；运用；利用v.用途；用法；使用n.
vacation|n|假期；休假n.
value|n v|价值；面值n.估价，评价v.
various|a|各种各样的；不同的adj.
vegetable|n|蔬菜；植物n.
visit|n v|访问；参观；拜访v.访问；参观n.
volunteer||
wait|n v|等；等待v.等待；等候n.
warn|v|警告；告诫；提醒v.
waste|a n v|浪费；滥用v.浪费；废弃物n.浪费的adj.
way|n|方式；方法；道路n.
wealthy|a|富有的；富裕的adj.
wear|n v|穿；戴；留（发/须）v.穿着；穿戴物n.
weather|n|天气；气象n.
website|n|网站；网页n.
weigh|v|称重；权衡；重量为v.
while|n|当…的时候；虽然conj.一段时间n.
wide|a|宽的；宽阔的；广泛的adj.
wild|a n|野生的；荒凉的；疯狂的adj.荒野n.
wise|a|明智的；聪明的；有智慧的adj.
wonder|n v|想知道；好奇v.惊奇；奇迹n.
work|n v|工作；劳动；运转v.工作；作品n.
worry|n v|担心；担忧v.担心；忧虑n.
write|v|写；书写；写作；写信v.
yard|n|院子；庭院；码（长度单位）n.
yet|d|还；仍然；已经adv.但是；然而conj.
young|a n|年轻的；年幼的adj.年轻人n.
