# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
command|n v|v 命令，指挥；控制；n 指挥，控制；命令；司令部
comment|n v|n 评论；意见；批评；v 发表评论；发表意见
commercial|a n|adj 商业的；营利的；靠广告收入的；n 商业广告
commit|v|v 犯罪，做错事；把交托给；指派…作战；使…承担义务
commitment|n|n 承诺，保证；委托；承担义务；献身
committee|n|n 委员会
common|a n|adj 共同的；普通的；一般的；通常的；n 普通；平民；公有地
communicate|v|v 通讯，传达；相通；交流；感染
communication|n|n 通讯，[通信] 通信；交流；信函
communism|n|n 共产主义
communist|a n|n 共产党员；共产主义者；adj 共产主义的
companion|n v|n 同伴；朋友；指南；手册；v 陪伴
company|n v|n 公司；陪伴，同伴；连队；v 交往
compare|n v|n 比较；v 比拟，喻为；[语]构成
compass|n v|n 指南针，罗盘；圆规；v 包围
compensate|v|v 补偿，赔偿；抵消
compete|v|v 竞争；比赛；对抗
competence|n|n 能力，胜任；权限；作证能力；足以过舒适生活的收入
competition|n|n 竞争；比赛，竞赛
competitor|n|n 竞争者，对手
complete|a v|adj 完整的；完全的；彻底的；v 完成
complex|a n|adj 复杂的；合成的；n 复合体；综合设施
component|a n|adj 组成的，构成的；n 成分；组件；[电子] 元件
composition|n|n 作文，作曲，作品；[材] 构成；合成物；成分
comprehension|n|n 理解；包含
compromise|n v|v 妥协；危害；n 妥协，和解；折衷
compulsory|a n|adj 义务的；必修的；被强制的；n （花样滑冰、竞技体操等的）规定动作
computer|n|n 计算机；电脑；电子计算机
comrade|n|n 同志；伙伴
concentrate|n v|v 集中；浓缩；全神贯注；聚集；n 浓缩，精选；浓缩液
concept|n|n 观念，概念
concern|n v|v 涉及，关系到；使担心；n 关系；关心；关心的事；忧虑
concert|a n v|n 音乐会；一致；和谐；v 使协调；协同安排
conclude|v|v 推断；决定，作结论；结束
conclusion|n|n 结论；结局；推论
concrete|a n v|adj 混凝土的；实在的，具体的；有形的；v 凝结
condemn|v|v 谴责；判刑，定罪；声讨
condition|n v|n 条件；情况；环境；身份；v 决定；使适应；使健康；以…为条件
conduct|n v|v 导电；带领；n 进行；行为；实施
conductor|n|n 导体；售票员；领导者；管理人
conference|n v|n 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会；vi 举行或参加（系列）会议
confident|a|adj 自信的；确信的
confidential|a|adj 机密的；表示信任的；获信任的
confirm|v|v 确认；确定；证实；批准；使巩固
conflict|n v|n 冲突，矛盾；斗争；争执；v 冲突，抵触；争执；战斗
confuse|v|v 使混乱；使困惑
congratulate|v|v 祝贺；恭喜；庆贺
congratulation|n|n 祝贺；贺辞
connect|v|v 连接；联合；关连
connection|n|n 连接；关系；人脉；连接件
conscience|n|n 道德心，良心
consensus|n|n 一致；舆论；合意
consequence|n|n 结果；重要性；推论
conservation|n|n 保存，保持；保护
conservative|a n|adj 保守的；n 保守派，守旧者
consider|v|v 考虑；认为；考虑到；细想
considerate|a|adj 体贴的；体谅的；考虑周到的
consideration|n|n 考虑；原因；关心；报酬
consist|v|v 由…组成；在于；符合
consistent|a|adj 始终如一的，一致的；坚持的
constant|a n|adj 不变的；恒定的；经常的；n [数] 常数；恒量
constitution|n|n 宪法；体制；章程；构造；建立，组成；体格
construct|n v|v 建造，构造；创立；n 构想，概念
construction|n|n 建设；建筑物；解释；造句
consult|v|v 查阅；商量；向…请教
consultant|n|n 顾问；咨询者；会诊医生
consume|v|v 消耗，消费；使…著迷；挥霍
contain|v|v 包含；控制；容纳；牵制（敌军）
container|n|n 集装箱；容器
contemporary|a n|n 同时代的人；同时期的东西；adj 当代的；同时代的；属于同一时期的
content|a n v|n 内容，目录；满足；容量；adj 满意的
continent|a n|n 大陆，洲，陆地；adj 自制的，克制的
continue|v|v 继续，延续；仍旧，连续
contradict|v|v 反驳；否定；与…矛盾；与…抵触
contradictory|a n|adj 矛盾的；反对的；反驳的；抗辩的；n 对立物；矛盾因素
contrary|a d n|adj 相反的；对立的；adv 相反地
contribute|v|v 贡献，出力；投稿；捐献
contribution|n|n 贡献；捐献；投稿
control|n v|n 控制；管理；抑制；操纵装置；v 控制；管理；抑制
controversial|a|adj 有争议的；有争论的
convenience|n|n 便利；厕所；便利的事物
convenient|a|adj 方便的；[废语]适当的；[口语]近便的；实用的
conventional|a|adj 符合习俗的，传统的；常见的；惯例的
conversation|n|n 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
convey|v|v 传达；运输；让与
convince|v|v 说服；使确信，使信服
cook|n v|v 烹调，煮；n 厨师，厨子
cooker|n|n 炊具；烹饪用水果；窜改者
cookie|n|n 饼干；小甜点
cool|a d n v|adj 凉爽的；冷静的；出色的；v 使…冷却；使…平静下来
copy|n v|v 复制；复印；抄袭；n 副本；一册；摹仿
coral|a n|n 珊瑚；珊瑚虫；adj 珊瑚的；珊瑚色的
cordless|a n|n 不用电线的；adj 无线的（副词cordlessly）
corn|n v|n （美）玉米；（英）谷物；[皮肤] 鸡眼；v 腌；使成颗粒
corner|n v|n 角落，拐角处；地区，偏僻处；困境，窘境；v 囤积；相交成角
corporation|n|n 公司；法人（团体）；社团；大腹便便；市政当局
correct|a v|v 改正；告诫；adj 正确的；恰当的；端正的
correction|n|n 改正，修正
correspond|v|v 符合，一致；相应；通信
corrupt|a v|adj 腐败的，贪污的；堕落的；v 使腐烂；使堕落，使恶化
cost|n v|v 花费；使付出；使花许多钱；n 费用，代价，成本；损失
cosy|a n|adj 舒适的；惬意的；n 保温罩
cottage|n|n 小屋；村舍；（农舍式的）小别墅
cotton|a n v|n 棉花；棉布；棉线；v 一致；理解；和谐；亲近
cough|n v|n 咳嗽，咳嗽声；咳嗽病；v 咳出
could|v|aux 能够；v 能（can的过去式）
count|n v|v 计算；认为；n 计数；计算；伯爵
counter|a d n v|n 柜台；对立面；计数器；（某些棋盘游戏的）筹码；v 反击，还击；反向移动，对着干；反驳，回答
country|a n|n 国家，国土；国民；乡下，农村；乡村；故乡；adj 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
countryside|n|n 农村，乡下；乡下的全体居民
couple|n v|n 对；夫妇；数个；v 结合；成婚
courage|n|n 勇气；胆量
course|n v|n 科目；课程；过程；进程；道路；路线，航向；一道菜；v 追赶；跑过
court|n v|n 法院；球场；朝廷；奉承；v 招致（失败、危险等）；向…献殷勤；设法获得
courtyard|n|n 庭院，院子；天井
cousin|n|n 堂兄弟姊妹；表兄弟姊妹
cover|n v|v 包括；采访，报导；涉及；n 封面，封皮；盖子；掩蔽物;幌子，借口
cow|n v|n 奶牛，母牛；母兽；v 威胁，恐吓
cowboy|n|n 牛仔；牧童；莽撞的人
crash|n v|n 撞碎；坠毁；破产；轰隆声；睡觉；v 摔碎；坠落；发出隆隆声；(金融企业等)破产
crayon|n v|n 蜡笔，有色粉笔；v 以蜡笔作画，用颜色粉笔画
crazy|a|adj 疯狂的；狂热的，着迷的
cream|n|n 奶油，乳脂；精华；面霜；乳酪
create|v|v 创造，创作；造成
creature|n|n 动物，生物；人；创造物
credit|n v|n 信用，信誉；[金融] 贷款；学分；信任；声望；v 相信，信任；把…归给，归功于；赞颂
crew|n v|n 队，组；全体人员，全体船员；v 一起工作
crime|n v|n 罪行，犯罪；罪恶；犯罪活动；vt 控告……违反纪律
criminal|a n|n 罪犯；adj 刑事的；犯罪的；罪恶的
criterion|n|n （批评判断的）标准；准则；规范；准据
crop|n v|n 产量；农作物；庄稼；平头；v 种植；收割；修剪；剪短
cross|a n v|n 交叉，十字；十字架，十字形物；v 交叉；杂交；横过
crossing|n v|n 十字路口；杂交；横渡；横道；v 横越（cross的现在分词）
crossroads|n|n 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
crowd|n v|n 群众,一伙;一堆,许多,大众；v 拥挤,挤满,挤进
crowded|a v|adj 拥挤的；塞满的；v 拥挤（crowd的过去分词）
cruel|a|adj 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
cry|n v|v 叫喊；哭出；大声说；n 叫喊；叫声；口号；呼叫
cube|n v|n 立方；立方体；骰子；v 使成立方形；使自乘二次；量…的体积
cubic|a n|adj 立方体的，立方的；n (Cubic)人名；(罗)库比克
cuisine|n|n 烹饪，烹调法
culture|n v|n 文化，文明；修养；栽培；v [细胞][微] 培养（等于cultivate）
cup|n v|n 杯子；奖杯；酒杯；v 使成杯状；为…拔火罐
cupboard|n|n 碗柜；食橱
cure|n v|v 治疗；治愈；使硫化；加工处理；n 治疗；治愈；[临床] 疗法
curious|a|adj 好奇的，有求知欲的；古怪的；爱挑剔的
currency|n|n 货币；通货
curriculum|n|n 课程
curtain|n v|n 幕；窗帘；v 遮蔽；装上门帘
cushion|n v|n 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄；v 给…安上垫子；把…安置在垫子上；缓和…的冲击
custom|a n|n 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客；adj （衣服等）定做的，定制的
customer|n|n 顾客；家伙
customs|n|n 海关；风俗（custom的复数）；习惯；关税
cut|a n v|n 伤口；切口；削减；（服装等的）式样；削球；切入；v [机] 切割；削减；缩短；刺痛
cycle|n v|n 循环；周期；自行车；整套；一段时间；v 使循环；使轮转
cyclist|n|n 骑自行车的人
dad|n|n 爸爸；爹爹
daily|a d n|adj 日常的；每日的；n 日报；朝来夜去的女佣
dam|n v|v 控制；筑坝；n [水利] 水坝；障碍
damage|n v|n 损害；损毁；赔偿金；v 损害；损毁
damp|a n v|v 使潮湿；使阻尼；使沮丧，抑制；n 潮湿，湿气
dance|a n v|n 舞蹈；舞会；舞曲；v 跳舞；跳跃；飘扬
danger|n|n 危险；危险物，威胁
dangerous|a|adj 危险的
dare|n v|n 挑战；挑动；v 敢冒；不惧
dark|a n|adj 黑暗的，深色的；模糊的；无知的；忧郁的；n 黑暗；夜；黄昏；模糊
darkness|n|n 黑暗；模糊；无知；阴郁
dash|n v|n 破折号；冲撞；v 使…破灭；猛撞；泼溅
data|n|n 数据（datum的复数）；资料
database|n|n 数据库，资料库
date|n v|n 日期；约会；年代；枣椰子；v 过时；注明日期；始于（某一历史时期）
daughter|a n|n 女儿；[遗][农学] 子代；adj 女儿的；子代的
dawn|n v|n 黎明；开端；v 破晓；出现；被领悟
day|a d n|n 一天；时期；白昼；adv 每天；经常在白天地
daylight|n|n 白天；日光；黎明；公开
dead|a d n|adj 无生命的；呆板的；废弃了的；adv 完全地
deadline|n|n 截止期限，最后期限
deaf|a|adj 聋的
deal|n v|v 处理；给予；分配；发牌；n 交易；（美）政策；待遇；份量
dear|a d n|adj 亲爱的；尊敬的；昂贵的；adv 高价地；疼爱地
death|n|n 死；死亡；死神；毁灭
debate|n v|v 辩论，争论，讨论；n 辩论；辩论会
debt|n|n 债务；借款；罪过
decade|n|n 十年，十年期；十
december|n|n 十二月
decide|v|v 决定；解决；判决
decision|n|n 决定，决心；决议
declare|v|v 宣布，声明；断言，宣称
decline|n v|n 下降；衰退；斜面；v 下降；衰落；谢绝
decorate|v|v 装饰；布置；授勋给
decoration|n|n 装饰，装潢；装饰品；奖章
decrease|n v|n 减少，减小；减少量；v 减少，减小
deed|n v|n 行动；功绩；证书；[法] 契据；vt 立契转让
deep|a d n|n 深处；深渊；adj 深的；低沉的；深奥的
deeply|d|adv 深刻地；浓浓地；在深处
deer|n|n 鹿
defeat|n v|v 击败，战胜；挫败；使…失败；n 失败的事实；击败的行为
defend|v|v 辩护；防护
defense|n v|n 防卫，防护；防御措施；防守；vt 谋划抵御
delay|n v|v 延期；耽搁；n 延期；耽搁；被耽搁或推迟的时间
delete|v|v 删除
deliberately|d|adv 故意地；谨慎地；慎重地
delicate|a|adj 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
delicious|a|adj 美味的；可口的
delight|n v|n 高兴；v 高兴
delighted|a v|adj 高兴的；欣喜的；v 使…兴高采烈；感到快乐（delight的过去分词）
deliver|n v|v 交付；发表；递送；释放；给予（打击）；给…接生；n 投球
demand|n v|v 要求；需要；查询；n [经] 需求；要求；需要
dentist|n|n 牙科医生
department|n|n 部；部门；系；科；局
departure|n|n 离开；出发；违背
depend|v|v 依赖，依靠；取决于；相信，信赖
deposit|n v|n 存款；押金；订金；保证金；沉淀物；v 使沉积；存放
depth|n|n [海洋] 深度；深奥
describe|v|v 描述，形容；描绘
description|n|n 描述，描写；类型；说明书
desert|a n v|v 遗弃；放弃；逃跑；n 沙漠；荒原；应得的赏罚
deserve|v|v 应受，应得
design|n v|v 设计；计划；构思；n 设计；图案
desire|n v|n 欲望；要求，心愿；性欲；v 想要；要求；希望得到…
desperate|a|adj 不顾一切的；令人绝望的；极度渴望的
dessert|n|n 餐后甜点；甜点心
destination|n|n 目的地，终点
destroy|v|v 破坏；消灭；毁坏
detective|a n|adj 侦探的；n 侦探
determination|n|n 决心；果断；测定
determine|v|v （使）下决心，（使）做出决定
develop|v|v 开发；进步；使成长；使显影
development|n|n 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影
devote|v|v 致力于；奉献
devotion|n|n 献身，奉献；忠诚；热爱
diagram|n v|n 图表；图解；v 用图解法表示
dial|n v|n 转盘；刻度盘；钟面；v 拨号
dialogue|n v|n 对话；意见交换；vi 对话
diamond|a n|n 钻石，金刚石；菱形；方块牌；adj 菱形的；金刚钻的
diary|n|n 日志，日记；日记簿
dictation|n|n 听写；口述；命令
dictionary|n|n 字典；词典
die|n v|v 死亡；凋零；熄灭；n 冲模，钢模；骰子
diet|n v|n 饮食；食物；规定饮食；v 节食
differ|n v|v 使…相异；使…不同；n (Differ)人名；(法)迪费
difference|n|n 差异；不同；争执
different|a|adj 不同的；个别的，与众不同的
difficult|a|adj 困难的；不随和的；执拗的
difficulty|n|n 困难，困境
dig|n v|v 挖，掘；探究；n 戳，刺；挖苦
digest|n v|v 消化；吸收；融会贯通；n 文摘；摘要
digital|a n|adj 数字的；手指的；n 数字；键
dignity|n|n 尊严；高贵
dilemma|n|n 困境；进退两难；两刀论法
dimension|a n|n 方面;[数] 维；尺寸；次元；容积 vt标出尺寸；adj 规格的
dine|n v|v 进餐，用餐；n (Dine)人名；(意、葡)迪内；(英)戴恩；(法)迪纳
dinner|n|n 晚餐，晚宴；宴会；正餐
dinosaur|n|n 恐龙；过时、落伍的人或事物
dioxide|n|n 二氧化物
dip|n v|v 浸，泡，蘸；舀取；把伸入；n 下沉，下降；倾斜；浸渍，蘸湿
diploma|n v|n 毕业证书，学位证书；公文，文书；奖状；vt 发给…毕业文凭
direct|a d v|adj 直接的；直系的；亲身的；恰好的；v 管理；指挥；导演；指向
director|n|n 主任，主管；导演；人事助理
directory|a n|n [计] 目录；工商名录；姓名地址录；adj 指导的；咨询的
dirt|n|n 污垢，泥土；灰尘，尘土；下流话
dirty|a v|adj 下流的，卑鄙的；肮脏的；恶劣的；暗淡的；v 弄脏
disability|n|n 残疾；无能；无资格；不利条件
disabled|a v|adj 残废的，有缺陷的；v 使…失去能力（disable的过去分词）
disadvantage|n|n 缺点；不利条件；损失
disagree|v|v 不同意；不一致；争执；不适宜
disagreement|n|n 不一致；争论；意见不同
disappear|v|v 消失；失踪；不复存在
disappoint|v|v 使失望
disappointment|n|n 失望；沮丧
disaster|n|n 灾难，灾祸；不幸
discount|n v|n 折扣；贴现率；v 贴现；打折扣出售商品
discourage|v|v 阻止；使气馁
discover|v|v 发现；发觉
discovery|n|n 发现，发觉；被发现的事物
discrimination|n|n 歧视；区别，辨别；识别力
discuss|v|v 讨论；论述，辩论
discussion|n|n 讨论，议论
disease|n v|n 病，[医] 疾病；弊病；vt 传染；使…有病
disgusting|a|adj 令人厌恶的
dish|n v|n 盘；餐具；一盘食物；外貌有吸引力的人；v 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
disk|n|n [计] 磁盘，磁碟片；圆盘，盘状物；唱片
dislike|n v|v 不喜欢，厌恶；n 嫌恶，反感，不喜爱
dismiss|v|v 解散；解雇；开除；让离开；不予理会、不予考虑
disobey|v|v 违反；不服从
distance|n v|n 距离；远方；疏远；间隔；v 疏远；把…远远甩在后面
distant|a|adj 遥远的；冷漠的；远隔的；不友好的，冷淡的
distinction|n|n 区别；差别；特性；荣誉、勋章
distinguish|v|v 区分；辨别；使杰出，使表现突出
distribute|v|v 分配；散布；分开；把…分类
district|n|n 区域；地方；行政区
disturb|v|v 打扰；妨碍；使不安；弄乱；使恼怒
disturbing|a v|adj 令人不安的；烦扰的；v 干扰；打断（disturb的ing形式）
dive|n v|v 潜水；跳水；俯冲；急剧下降；n 潜水；跳水；俯冲；扑
diverse|a|adj 不同的；多种多样的；变化多的
divide|n v|v 划分；除；分开；使产生分歧；n [地理] 分水岭，分水线
division|n|n [数] 除法；部门；分配；分割；师（军队）；赛区
dizzy|a n v|adj 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的；v 使头晕眼花；使混乱；使茫然
doctor|n v|v 修理；篡改，伪造；为…治病；授以博士学位；n 医生；博士
document|n v|n 文件，公文；[计] 文档；证件；v 用文件证明
dog|n v|n 狗；丑女人；卑鄙的人；(俚)朋友；v 跟踪；尾随
doll|n v|n 洋娃娃；玩偶；无头脑的美丽女人；v 把…打扮得花枝招展
dollar|n|n 美元
door|n|n 门；家，户；门口；通道
dormitory|a n|n 宿舍，学生宿舍；adj 住宅区的
dot|n v|n 点，圆点；嫁妆；v 打上点
double|a d n v|n 两倍；双精度型；adj 双重的；两倍的
doubt|n v|n 怀疑；疑问；疑惑；v 怀疑；不信；恐怕；拿不准
down|a d n v|adv 向下，下去；在下面；adj 向下的
download|v|v [计] 下载
downstairs|a d n|adv 在楼下；adj 楼下的
downtown|a d n|adv 往闹市区；在市区；adj 市中心的
downward|a d|adj 向下的，下降的；adv 向下
dozen|a n|n 十二个，一打；adj 一打的
dr||abbr 速度三角形定位法（dead reckoning）；数据记录器（Data Recorder）
draft|a n v|n 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流；v 起草；制定；征募
drag|n v|v 拖累；拖拉；缓慢而吃力地行进；n 拖；拖累
draw|n v|v 画；拉；吸引；n 平局；抽签
drawback|n|n 缺点，不利条件；退税
drawer|n|n 抽屉；开票人；出票人；起草者；酒馆侍
drawing|n v|n 图画；牵引；素描术；v 绘画；吸引（draw的ing形式）；拖曳
dream|a n v|v 梦想；做梦，梦见；想到；n 梦想，愿望；梦
dress|n v|v 给…穿衣；n 连衣裙；女装
drier|n|n 干燥机；干燥剂；吹风机
drill|n v|n 训练；钻孔机；钻子；播种机；v 钻孔；训练
drink|n v|v 喝，饮；吸收；举杯庆贺；n 酒，饮料；喝酒
drive|n v|v 开车；猛击；飞跑；n 驱动器；驾车；[心理] 内驱力，推进力；快车道
driver|n|n 驾驶员；驱动程序；起子；传动器
drop|n v|v 滴；使降低；使终止；随口漏出；n 滴；落下；空投；微量；滴剂
drown|n v|v 淹没；把…淹死；n (Drown)人名；(英)德朗
drug|n v|n 药；毒品；麻醉药；滞销货；v 使服麻醉药；使服毒品；掺麻醉药于
drum|n v|v 击鼓；大力争取；n 鼓；鼓声
drunk|a v|v 喝酒（drink的过去分词）；adj 喝醉了的
dry|a n v|adj 干的；口渴的；枯燥无味的；禁酒的；v 把…弄干
duck|n v|n 鸭子；鸭肉；（英）宝贝儿；零分；v 闪避；没入水中
due|a d n|adj 到期的；预期的；应付的；应得的；n 应付款；应得之物
dull|a n v|adj 钝的；迟钝的；无趣的；呆滞的；阴暗的；v 使迟钝；使阴暗；缓和
dumpling|n|n 饺子，汤团；面团布丁
during|n|prep 在…的时候，在…的期间；n (During)人名；(法)迪兰；(瑞典、利比)杜林
dusk|a n v|n 黄昏，薄暮；幽暗，昏暗；adj 微暗的
dust|n v|n 灰尘；尘埃；尘土；v 撒；拂去灰尘
dustbin|n|n 垃圾箱；吃货
dusty|a|adj 落满灰尘的
duty|n|n 责任；[税收] 关税；职务
dvd||abbr 数字化视频光盘（Digital Video Disk）
dynamic|a n|adj 动态的；动力的；动力学的；有活力的；n 动态；动力
dynasty|n|n 王朝，朝代
each|a d|adj 每；各自的；adv 每个；各自
eager|a n|adj 渴望的；热切的；热心的；n (Eager)人名；(英)伊格
eagle|n|n 鹰；鹰状标饰
ear|n v|n 耳朵；穗；听觉；倾听；vi （美俚）听见；抽穗
early|a d n|adj 早期的；早熟的；adv 提早；在初期
earn|n v|v 赚，赚得；获得，挣得；使得到；博得；n (Earn)人名；(泰)炎
earth|n v|n 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴；v 把（电线）[电] 接地；盖（土）；追赶入洞穴
earthquake|n|n 地震；大动荡
ease|n v|v 减轻，缓和；使安心；n 轻松，舒适；安逸，悠闲
easily|d|adv 容易地；无疑地
east|a d n|n 东方；东风；东方国家；adj 东方的；向东的；从东方来的
easter|n|n 复活节
eastern|a n|adj 东方的；朝东的；东洋的；n 东方人；（美国）东部地区的人
eastwards|a d|adv 向东方地；adj 向东方的
easy|a d v|adj 容易的；舒适的；adv 不费力地，从容地
eat|v|v 吃，喝；腐蚀；烦扰
ecology|n|n 生态学；社会生态学
edge|n v|n 边缘；优势；刀刃；锋利；v 使锐利；将…开刃；给…加上边
edition|n|n 版本
editor|n|n 编者，编辑；社论撰写人；编辑装置
educate|v|v 教育；培养；训练
education|n|n 教育；培养；教育学
educator|n|n 教育家；教育工作者；教师
effect|n v|n 影响；效果；作用；v 产生；达到目的
effort|n|n 努力；成就
egg|n v|n 蛋；卵子；家伙；鸡蛋；v 煽动；怂恿
eggplant|a n|n 茄子；adj 深紫色的
egypt|n|n 埃及（非洲国家）
egyptian|a n|adj 埃及的；埃及人的；n 埃及人；古代埃及语
eight|a n|num 八；八个；第八；adj 八的
eighteen|a n|n 十八，十八个；adj 十八个的，十八的
eighth|a|adj 第八的；八分之一的；num 第八；八分之一
eighty|a n|n 八十；八十岁；八十年代；adj 八十的，八十个的；八十岁的
either|a|adj 两者之中任一的；两者之中每一的；prep 任何一个
elder|a n|n 老人；长辈；年长者；父辈；adj 年长的；年龄较大的；资格老的
elect|a n v|adj 选出的；当选的；卓越的；n 被选的人；特殊阶层；上帝的选民
electric|a n|adj 电的；电动的；发电的；导电的；令人震惊的；n 电；电气车辆；带电体
electrical|a|adj 有关电的；电气科学的
electricity|n|n 电力；电流；强烈的紧张情绪
electronic|a n|adj 电子的；n 电子电路；电子器件
elegant|a|adj 高雅的，优雅的；讲究的；简炼的；简洁的
elephant|n|n 象；大号图画纸
eleven|a n|n 十一；十一个；adj 十一的；十一个的
else|a d n|adv 其他；否则；另外；adj 别的；其他的
embarrass|v|v 使局促不安；使困窘；阻碍
embassy|n|n 大使馆；大使馆全体人员
emergency|a n|n 紧急情况；突发事件；非常时刻；adj 紧急的；备用的
emperor|n|n 皇帝，君主
empire|n|n 帝国；帝王统治，君权
employ|n v|v 使用，采用；雇用；使忙于，使从事于；n 使用；雇用
empty|a n v|adj 空的；无意义的；无知的；徒劳的；v 使失去；使…成为空的
encourage|v|v 鼓励，怂恿；激励；支持
encouragement|n|n 鼓励
end|n v|n 结束；目标；尽头；末端；死亡；v 结束，终止；终结
ending|n|n 结局；结尾
endless|a|adj 无止境的；连续的；环状的；漫无目的的
enemy|a n|n 敌人，仇敌；敌军；adj 敌人的，敌方的
energetic|a|adj 精力充沛的；积极的；有力的
energy|n|n [物] 能量；精力；活力；精神
engine|n|n 引擎，发动机；机车，火车头；工具
engineer|n v|n 工程师；工兵；火车司机；v 设计；策划；精明地处理
england|n|n 英格兰
english|a n v|adj 英国人的；英国的；英文的；n 英语；英国人；英文；英格兰人
enjoy|v|v 欣赏，享受；喜爱；使过得快活
enjoyable|a|adj 快乐的；有乐趣的；令人愉快的
enlarge|v|v 扩大；放大；详述
enough|a d n|adv 足够地，充足地；n 很多；充足
enquiry|n|n [计] 询问，[贸易] 询盘
enter|n v|v 进入；开始；参加；n [计] 输入；回车
enterprise|n|n 企业；事业；进取心；事业心
entertainment|n|n 娱乐；消遣；款待
enthusiastic|a|adj 热情的；热心的；狂热的
entire|a n|adj 全部的，整个的；全体的；n (Entire)人名；(英)恩泰尔
entrance|n v|n 入口；进入；v 使出神，使入迷
entry|n|n 进入；入口；条目；登记；报关手续；对土地的侵占
envelope|n|n 信封，封皮；包膜；[天] 包层；包迹
environment|n|n 环境，外界
envy|n v|n 嫉妒，妒忌；羡慕；v 嫉妒，妒忌；羡慕
equal|a n v|adj 平等的；相等的；胜任的；v 等于；比得上
equality|n|n 平等；相等；[数] 等式
equip|v|v 装备，配备
equipment|n|n 设备，装备；器材
eraser|n|n 橡皮；擦除器；[计] 清除器
error|n|n 误差；错误；过失
erupt|v|v 爆发；喷出；发疹；长牙
escape|n v|v 逃避，避开，避免；被忘掉；被忽视；n 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
especially|d|adv 特别；尤其；格外
essay|n v|n 散文；试图；随笔；v 尝试；对…做试验
europe|n|n 欧洲
european|a n|adj 欧洲的；欧洲人的；n 欧洲人
evaluate|v|v 评价；估价；求…的值
even|a d n v|adj [数] 偶数的；平坦的；相等的；adv 甚至；即使；还；实际上
evening|a n|n 晚上；傍晚；（联欢性的）晚会；后期；adj 在晚上的；为晚上的；晚上用的
event|n|n 事件，大事；项目；结果
eventually|d|adv 最后，终于
ever|d n|adv 永远；曾经；究竟；n (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔
every|a n|adj 每一的，每个的；每隔…的；n (Every)人名；(英)埃夫里
everybody||pron 每个人；人人
everyday|a n|adj 每天的，日常的；n 平时；寻常日子
everyone|n|pron 每个人；人人；n 每个人
everything||pron 每件事物；最重要的东西；（有关的）一切；万事
everywhere|d n|adv 到处；n 每个地方
evidence|n v|n 证据，证明；迹象；明显；v 证明
evident|a|adj 明显的；明白的
evolution|n|n 演变；进化论；进展
exact|a v|adj 准确的，精密的；精确的；v 要求；强求；急需
exactly|d|adv 恰好地；正是；精确地；正确地
exam|n|n 考试；测验
examine|v|v 检查；调查； 检测；考试
example|n v|n 例子；榜样；vt 作为…的例子；为…做出榜样
excellent|a|adj 卓越的；极好的；杰出的
except|v|v 不计；把…除外；prep 除…之外
exchange|n v|n 交换；交流；交易所；兑换；v 交换；交易；兑换
excite|v|v 激起；刺激…，使…兴奋
excuse|n v|n 借口；理由；v 原谅；为…申辩；给…免去
exercise|n v|n 运动；练习；运用；操练；礼拜；典礼；v 锻炼；练习；使用；使忙碌；使惊恐
exhibition|n|n 展览，显示；展览会；展览品
exist|v|v 存在；生存；生活；继续存在
existence|n|n 存在，实在；生存，生活；存在物，实在物
exit|n v|n 出口，通道；退场；v 退出；离去
expand|v|v 扩张；使膨胀；详述
expect|v|v 期望；指望；认为；预料
expectation|n|n 期待；预期；指望
expense|n v|n 损失，代价；消费；开支；vt 向…收取费用
expensive|a|adj 昂贵的；花钱的
experience|n v|n 经验；经历；体验；v 经验；经历；体验
experiment|n v|v 尝试；进行实验；n 实验，试验；尝试
expert|a n v|adj 熟练的；内行的；老练的；n 专家；行家；能手
explain|v|v 说明；解释
explanation|n|n 说明，解释；辩解
explicit|a|adj 明确的；清楚的；直率的；详述的
explode|v|v 爆炸，爆发；激增
exploit|n v|v 开发，开拓；剥削；开采；n 勋绩；功绩
explore|v|v 探索；探测；探险
explorer|n|n 探险家；勘探者；探测器；[医]探针
export|n v|n 输出，出口；出口商品；v 输出物资
expose|v|v 揭露，揭发；使曝光；显示
express|a n v|v 表达；快递；adj 明确的；迅速的；专门的
expression|n|n 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
